codfornec,nome,nomefantasia,bairro,cep,campolivre1,campolivre2,cgccpf,codcidade,codtipo,contacx,contato,ctctbred,endereco,estado,fax,fone,inscest,observacao,pessoa_fj,homepage,email,ativo,codcliente,celular,inscmunicipal,codmunicipio,tipofornece,comissao,complemento,numero,optantesimples,identificacao,caracteristica_tributaria,detalhe_regime,regimetributario
000167,CAIO -ANTONIO CARLOS ANDREANI,KAYOS,JJJJJJJJJJ,,,,53782267834,03477,010,,CAIO,,JAJKJAJLJALJLJA,SP,,,,,F,,,S,,,,,,0,,7,,0,99,99,99
000168,POLY REPAROS COM DE AUTO PEAS LTDA,SPARE KITS,VILA DIVINA PASTORA,03265010,,,04533511000120,03827,001,0207001,,,BARLAVENTO,SP,,29184065,116187045111,VENDEDOR PABLO - ESPECIAL - FRETE FOB,J,,,S,,,,,7,0,,351,,0,99,99,99
000169,MASFLOG TRANSPORTE RODOVIARIO EIRELI EPP,MASFLOG,QUEIMADINHA,44000000,,,,01955,009,0206003,,,RUA INTENDENTE ABDON,BA,,7532219915,,,J,,,S,,,,,2,0,,72,,0,99,99,99
000170,TIGRE AUTOMOTIVE S. A. - GT1,GT1,BOQUEIRO,81670020,,,14293158000101,04003,002,0207001,,,FREDERICO MAURER,PR,,4133761717,9057369652,,J,,,S,,,,,6,0,KM,3495,,0,99,99,99
000171,LI YU F. PING - GT1,GT1,BOQUEIRO,81670020,,,16417706000193,04003,002,0207001,,,FREDERICO MAURER,PR,,4133761717,9060201304,"WASLEY 02/12/19
REPRESENTATE: HARPA REPRESENTAES
CONTATO: SKYPE
PARTE ESPECIAL: 80%
DESCONTO APLICADO: 
FRENTE: FOB
PRAZO:",J,,,S,,,,,6,0,,3495,,0,99,99,99
000172,H3 COMERCIO DISTRIBUIDORA E TRANSPORTE LTDA,SEINECA,BARRA DA TIJUCA,22775057,,,13644704000149,03240,002,0207001,,,AV JOAO CABRAL DE MELLO NETO SALA 1206 BLOCO 02,RJ,,2135907878,79375470,,J,,seineca@hotmail.com.br,S,01014084,,,,7,0,,850,,0,99,99,99
000173,SINTECH DO BRASIL LTDA,SINTECH DO BRASIL LTDA,MONTE ALEGRE (MONTE ALEGR,88348410,,,01027688000247,04360,,,,,RODOVIA BR-101,SC,,4133333232,258737077,,J,,,S,03000003,,,,,0,TRADE PARK - GALPAO 1A - MARGINAL OESTE,SN,,0,99,99,99
000174,TIGRE AUTOMOTIVE S.A,GT1,BOQUEIRO,81670020,,,,04003,002,,4133761717,,FREDERICO MAURER,PR,,,,,J,,,S,,,,,6,0,,3495,,0,99,99,99
000175,NN COMERCIO E INDUSTRIA DE PECAS AUTOMOTIVAS LTDA,RTA,JARDIM REBOUAS,87083580,,,10480652000124,04118,002,0207001,,,48009,PR,,4430303031,9046253458,,J,,financeiro01nn@gmail.com,S,,,,,7,0,-,329,,0,99,99,99
000176,FANIA COMERCIO E INDUSTRIA DE PECAS LTDA,FANIA,SAO JUDAS TADEU,37504069,,,57006983000433,02609,002,0207001,,,AV PRESIDENTE TANCREDO DE ALMEIDA NEVES,MG,,3536295800,3241343290013,,J,,fania@hotmail.com,S,,,,,7,0,,725,,0,99,99,99
000177,VOBER INDUSTRIA E COMERCIO LTDA,VOBER,DISTRITO INDUSTRIAL,14300000,,,00023841000114,03331,001,0207001,,,AV PRESIDENTE VARGAS,SP,,1637618040,208029756118,,J,,vober@hotmail.com.br,S,01013165,,,,7,0,,345,,0,99,99,99
000178,MOTORACO COMERCIO DE AUTO PECAS LTDA,MOTORACO,SANTO ANTONIO,09530310,,,27077237000127,03810,002,0207001,,,MACHADO DE ASSIS,SP,,1127592035,636336209110,,J,,motoraco@hotmail.com,S,01006217,,,,7,0,,376,,0,99,99,99
000179,KTRMOES FF IND AUTO PECAS LTDA ME,KTRMOES,VARZEA DO SOUZA,06652855,,,02455307000102,03793,002,0207001,,,ESTRADA ANA PROCOPIO DE MORAIS,SP,,1141561671,623020546114,,J,,ktrtmoes@hotmail.com,S,,,,,7,0,,400,,0,99,99,99
000180,COMERCIO E INDUSTRIA DE MOLAS ESPIRAIS TIGRE LTDA,MOLAS TIGRE,ABOLIO,20751002,,,33103235000168,03240,002,0207001,,,DOM HELDER CAMARA,RJ,,2125972293,81959250,pedidos@molastigre.com.br,J,,tigre@hotmail.com,S,,,,,7,0,PILARES,6888,,0,99,99,99
000181,"FLORIO INDUSTRIA, COMERCIO, IMPOR E EXP LTDA",FLORIO,PARQUE INDUSTRIAL DAS OLI,06765350,,,56679186000101,03853,001,0207001,,,RAFAEL DE MARCO,SP,,1147712222,675155753118,REP- BCR -,J,,,S,01014939,,,,7,0,,226,,0,99,-1,-1
000182,RADIEX INDUSTRIA E COMERCIO LTDA,RADIEX,LARANJA AZEDA,07430350,,,57345050000128,03309,001,0207001,,,AV TOWER AUTOMOTIVE,SP,,1147465222,188106130110,alan-financeiro,J,,,S,,,,,7,0,GALPAO 15,701,,0,99,99,99
000183,MTF COMERCIO DE ROLAMENTOS LTDA,MTF,CIDADE NOVA,88308605,,,04268957000255,04434,001,0207001,,,RODOVIA BR101,SC,,1133151744,258610573,,J,,,S,00099856,,,,7,0,"GALPAO A SALA 02 KM 122,4",9245,,0,99,99,99
000185,MANDO MACHINERY DISTRIBUIDORA DE AUTO PECAS LTDA,MANDO,BRAS,03005010,,,03458819000195,03827,003,0207001,,,FERNANDES SILVA,SP,,33298700,115592790113,,J,,areceber03@mando.com.br,S,01011557,,28403479,,7,0,SUC 06 08 10 E 10A BLOCO 03 -CENTERBRAS AG. BRAS,296,,0,99,99,99
000186,SNAP-ON DO BRASIL COM E IND LTDA,SNAP-ON,JARDIM AMALIA,13456401,,,60395175000177,03778,003,0207001,,,JUSCELINO KUBITSCHEK DE OLIVEIRA,SP,,551921081000,606023425119,Marileine.Santana@snapon.com,J,,,S,01015086,,,,7,0,,470,,0,99,99,99
000187,MARCON IND. E COM. DE PRODUTOS DE BORRACHA E PLAST,MF MANGUEIRAS,KM 13- INDAGUASSU,18500000,,,17308569000111,03563,002,,JOSE INACIO,,ESTRADA VICINAL JOAO HERMANO PESSIN,SP,,1533839050,412022026114,,J,,,S,,,,,,0,KM 1.3,SN,,0,99,99,99
000188,INTERCOM COM. IND. DE PEAS EIRELI,JANPARTS,VILA ARCDIA,02910000,,,29726774000186,03827,003,,,,BALSA,SP,,1128186000,119063764114,,J,,,S,,,,,,0,FUNDOS,537,,0,99,99,99
000189,IMPORTWAY COMERCIO IMPORTACAO E EXPORTACAO,STARKE,MACHADOS,88371554,,,09228603000209,04410,002,,FELIPI,,RUA SANTOS MACCARINI,SC,,4733191222,255653670,"NO TEM ESPECIAL
REPRESENTANTE: FELIPE BONILA",J,,,S,01007752,,,,,0,SALA 12,650,,0,99,99,99
000190,FIORI VEICOLO S/A,FIORI,MADALENA,50720100,,,35715234000108,01594,004,0207001,,,JOAO IVO DA SILVA,PE,,8134477777,017462002,,J,,,S,01014480,,,,,0,,220,,0,99,99,99
000191,POLO COMERCIO INTERNACIONAL LTDA,EURO,JOSE TAVERNA,83430000,,,06261751000229,03965,003,0207001,,,ROD JOSE TAVERNA,PR,,4136762631,9048089973,financeiro@traex.com.br para solicitar Boletos.,J,,u@hotmail.com,S,01007532,,,,7,0,GLP 1 E 2,797,,0,99,99,99
000192,LIBERTY SEGUROS S. A.,LIBERTY SEGUROS,SAO PAULO,04571020,,,61550141000172,03827,011,,,,RUA DOUTOR GERALDO CAMPOS MOREIRA,SP,,,ISENTO,,J,,,S,,,,,6,0,,110,,0,99,99,99
000193,COMERCIAL DE AUTOPEAS KYB DO BRASIL LTDA,KYB,SSS,81460050,,,19282382000111,04003,002,,,,CYRO CORREIA PEREIRA,PR,,4130123620,9064878880,"REPRESENTANTE:
PAULO CSAR - (41) - 99910-0090  - NAO ESPECIAL -  FRETE CIF",J,,,S,01009445,,,,,0,SALA 07,2400,,0,99,99,99
000194,APLIC COMERCIO IND DE PECAS LTDA.,APLIC,CRUS PRETA,06417020,,,61441887000148,03329,001,,RONNY CANDEIAS,,RUA ALMEDIDA N100,SP,,1141618866,206015934111,"REPRESENTANTE RONNY 
CANDEIAS ASSESORIAS E VENDAS 
DESCONTO 64,16% (15/03/22) + 3,12% PARA PRODUTOS IMPORTADOS 
PRAZO 7/14/21/28 DIAS",J,,,S,,,,,,0,,100,,0,99,99,99
000195,TDM FRICTION DO BRASIL S/A,COBREQ,OLARIA,13329350,,,07000100000167,03827,,,1938949719,,RUA DAS NACOES UNIDAS,SP,,,,"RAFAEL 17/01/2020
REPRESENTANTE PE: FRANAP REPRESENTACOES- GEAN IGNACIO 
Preos lquidos sem ipi/st
Prazo 28/35/42
Frete CIF",J,,,S,,,,,6,0,,2687,,0,99,99,99
000196,TMD FRICTION DO BRASIL S/A,COBREQ,OLARIA,13329350,,,33060716000214,03772,,,,,RUA DAS NACOES UNIDAS,SP,,1938949733,600106676114,"RAFAEL 17/01/2020
REPRESENTANTE PE: FRANAP REPRESENTACOES- GEAN IGNACIO 
Preos lquidos sem ipi/st
Prazo 28/35/42
Frete CIF",J,,,S,,,,,,0,,2687,,0,99,99,99
000197,CLICK AUTOMOTIVA INDUSTRIAL LTDA.,CLICK AUTOMOTIVA INDUSTRIAL LTDA.,MACUCO,13279451,,,62479365000106,03894,,,,,RUA LAERTE DE PAIVA,SP,,1938818400,708024369113,,J,,,S,,,,,,0,,264,,0,99,99,99
000198,ALUGUEL E TAXA DE AGUA ( LOJA I),,JARDIM MARAVILHA,56306610,,,,01588,,,PAULO,,SETE DE SETEMBRO,PE,,87988359252,,,F,,,S,,,,,,0,,229,,0,99,99,99
000199,CAPPTA,CAPPTA S.A,VILA OLMPIA,04547006,,,13966572000171,03827,010,0207001,,,GOMES DE CARVALHO,SP,,,ISENTO,,J,,,S,,,58177809,,6,0,,01609,,0,99,99,99
000200,THOWER IND COM DE AUTO PECAS LTDA,THOWER,NOSSA SENHORA DO DESTERRO,86025590,,,01917167000184,04100,002,,PABLO HARPA,,PADRE ANCHIETA,PR,,4333560080,9013775378,,J,,,S,,,,,,0,,155,,0,99,99,99
000201,ORIGINAL KIT CEDRAZ COM IMP. E EXPORTAO LTDA,CEDRAZ,VILA REGENTE FEIJ,03335007,,,11253807000152,03608,001,0207001,,,PEDRO NICOLAU BERNARDO,SP,,1126716700,148850938111,,J,,faturamento@originalkit.com.br,S,01015540,,,,7,0,BLOCO M4,04,,0,99,99,99
000202,YONIC IMPORTAO E EXPORTAO,CINOY,JARDIM GRAMACHO,25055210,,,14218726000100,03240,010,0207001,21 2784-1600,,FRANCISCO PORTELA,RJ,,2127841600,79478318,,J,,cadastro@cinoy.com.br,S,01009913,,,,6,0,J,925,,0,99,99,99
000203,MP LUB COMERCIO E REPRESENTACOES LTDA,MP LUB COMERCIO E REPRESENTACOES LTDA,PASSARINHO,52170640,,,12599809000160,01594,,,,,AVENIDA DA RECUPERACAO,PE,,8132658585,000152536,,J,,,S,,,,,,0,,002,,0,99,99,99
000204,MTF COMERCIO DE ROLAMENTOS EIRELI,MTF COMERCIO DE ROLAMENTOS EIRELI,PONTE PEQUENA,01109000,,,04268957000174,03827,,,,,AV. CRUZEIRO DO SUL,SP,,1133151744,116111182115,NF 50/50 PARTE ESPECIAL ENVIO DE CHEQUE / FINACEIRO PARTE ESPECIAL PABLO OU AROLDO / FINANCEIRO DA NF EDVANIA,J,,,S,01014278,,,,,0,,275,,0,99,99,99
000205,VGERCIE COMERCIAL LTDA,VGERCIE,IPIRANGA,04211040,,,08249440000199,03827,001,0207001,1150785330,,CISPLATINA,SP,,1150785330,149399609110,,J,,,S,,,,,6,0,,68,,0,99,99,99
000206,SUN SIMON COM. IMP. PARTES E PECAS AUTOMOTIVAS LTD,AUTAFASTAR,CERMICA,09581170,,,10222857000100,03810,002,0207001,,,ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,SP,,1139965202,636307973112,,J,,faturamento@autafastar.com.br,S,01012735,,,,7,0,,657,,0,99,99,99
000207,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,QUINTA DA BOA VISTA (INDU,08597630,,,61215646000180,03529,002,0207001,,,FLOR DE NOIVA,SP,,46468100,379043405116,,J,,,S,01004863,,,,7,0,,500,,0,99,99,99
000208,PHINIA DELPHI BRASIL LTDA,DELPHI,UNILESTE,13422200,,,25043386000301,03698,002,,RONNY CANDEIAS,,ADHEMAR PEREIRA DE BARROS,SP,,19345295293,535671909118,PHINIA Delphi Brasil Ltda,J,,,S,01010457,,,,1,0,PORTAO 1,1284,,0,99,99,99
000209,BRP PEAS AUTOMOTIVAS LTDA EPP,BRP,AFOGADOS,50770310,,,28013447000114,01594,,0207001,,,CINCO DE NOVEMBRO,PE,,8130382508,072498617,,J,,,S,,,,,7,0,,234B,,0,99,99,99
000210,LEMCA LAMPADAS ESPECIAIS LTDA,EXCELITE,JAGUARA,05329030,,,60089919000125,03827,002,0207001,,,CATALUNHA,SP,,1128270600,112275613115,,J,,,S,,,,,7,0,,350,,0,99,99,99
000211,FLUID SYSTEM DO BRASIL S/A,URBA - BROSOL,DISTRITO IMPERIAL,13288172,,,17460797000102,03901,002,0207001,,,RUA IRACEMA LUCAS,SP,,1938569300,714077726117,,J,,,S,03000005,,,,7,0,GALPAO C,705,,0,99,99,99
000212,LEBEL IND.DE MANG. DE FREIO E MAQ.EIRELLI EPP,NORFLEX,JARDIM DAS TULIPAS,13212790,,,25213797000136,03558,001,,EMERSON,,DOUTOR WADY BADRA,SP,,1145823623,407563500110,,J,,,S,,,,,,0,,100,,0,99,99,99
000213,FECT IMPORTADORA E DISTRIBUIDORA DE PECAS AUTOMOTI,PERFECT,MOGI DAS CRUZES,08772710,,,30422180000241,03608,,,,,AVENIDA GENERAL MOTORS,SP,,1121769000,454853539116,"28/12/19 - MURILLO: COLOCAR DADOS DA REPRESENTAO E DO SETOR FINANCEIRO DA FBRICA.
14/05/21 - KSSIA: 
REPRESENTANTE - RICARDO RANDAL 
CONTANTO  (71) - 9983-0222",J,,,S,01009447,,,,,0,GALPO 01,777,,0,99,99,99
000214,MAZI AUTOMOTIVA LTDA,MAZI AUTOMOTIVA LTDA,SO JOS,95032320,,,14009866000178,04697,002,0207001,5430228150,,BEETHOVEN,RS,,30228158,0290545790,,J,,maziautomotiva@hotmail.com,S,,,,,7,0,,2331,,0,99,99,99
000215,NAIR FERNANDES ROSARIO ME,BC CABOS,BURGO PAULISTA,03681000,,,05437287000135,03827,,0207001,VISAC,,RUA ANTONIO FORTUNADO,SP,,1120479136,116540288110,,J,,b@h.com,S,,,,,2,0,,611,,0,99,99,99
000216,AGUIRIES ELEMNTOS PLASTICOS LTDA,ABD,VILA CONCEIO,09912190,,,01184032000157,03417,002,0207001,,,RIACHUELO,SP,,1140754832,ISENTO,,J,,aguireiselementosplasticos@uol.com.br,S,,,,,7,0,,187,,0,99,99,99
000217,MAXI INDUSTRIA E COMERIO DE AUTOPECAS LTDA,MAXI INDUSTRIA,DISTRITO INDUSTRIAL JOO N,13347402,,,17085599000106,03500,010,0207001,1939362891,,UM,SP,,1939362891,353302973119,,J,,maxi@hotmail.com,S,,,,,7,0,,211,,0,99,99,99
000218,ZWF COM AUTOPEAS LTDA EPP,ZWF,CANIND,03029000,,,31472815000105,03827,002,0207001,1132240518,,CORONEL MORAIS,SP,,,119956280117,,J,,zwf@hotmail.com,S,,,,,7,0,,180,,0,99,99,99
000219,FORTEC INDUSTRIA E COMERCIO DE PEAS EIRELLI EPP,FORTEC,JARDIM LUIZ FAVERO,13445482,,,59871418000117,03435,002,0207001,1938579457,,RUA JOSE BUENO DE OLIVEIRA,SP,,1938579457,ISENTO,,J,,fortec@hotmail.com,S,,,,,,0,,491,,0,99,99,99
000220,IKARO COMPONENTES AUTOMOTIVOS LTDA,IKARO COMPONENTES AUTOMOTIVO LTDA,SO JOS,92420550,,,04773769000101,04681,002,0207001,5130523300,,LAURO MULLER,RS,,555130523300,ISENTO,"contasreceber01@ikro.com.br

IKRO",J,,ikaro@hotmail.com,S,,,,,7,0,,110,,0,99,99,99
000221,BRILHANTE ALIANA IMPORT AUTO PEAS EIRELI-EPP,YIMING PARTS,VILA MATILDE,03516000,,,14067940000102,03477,002,0207001,1120823808,,EUGENIA DE CARVALHO,SP,,1120823808,ISENTO,VENDEDOR ARTUR - ESPCIAL 25X75 - FRETE FOB,J,,brilhantealianca@hotmail.com,S,,,,,2,0,GALPAO 07,1546,,0,99,99,99
000222,BRAKEPARTS IND.COM.EXP.LTDA,MAZZICAR,CAMPESTRE,09080511,,,04911157000200,03799,002,0207001,1149911454,,AV INDUSTRIAL,SP,,1149911454,626711210116,29/11/2019 - MURILLO: MAZZICAR.,J,,brakeparts@hotmail.com,S,,,,,7,0,,2861,,0,99,99,99
000223,ZP IND E COMERCIO DE PEAS LTDA,ZAP,JARDIM SO LUS,05843270,,,28846711000109,03827,002,0207001,1155131355,,JOAO BRITO DE ARAUJO,SP,,1155131355,ISENTO,,J,,zap@htomail.com,S,,,,,7,0,,280,,0,99,99,99
000224,FILTROS BRASIL INDUSTRIA E COMERCIO LTDA,FILTROS BRASIL,JARDIM AMRICA,12902360,,,09258346000320,03312,002,0207001,1131835020,,ALBERTO DINIZ,SP,,1131835020,ISENTO,50/50,J,,filtrosbrasil@hotmail.com,S,,,,,7,0,"R. SABIA, 65 - DOCA 1",1017,,0,99,99,99
000225,BIBAS COM.INTERNACIONAL EIRELLI,CAMBUCI,CAMBUCI,01522030,,,00745346000119,03827,003,,HERMERSON,,RUA DOS PESCADORES,SP,,7188919808,114468092111,NF - 20/80  PARTE ESPECIAL BOLETO,J,,,S,,7188919808,,,6,0,,51,,0,99,99,99
000226,V8 INDUSTRIA E COMERCIO AUTOPECAS LTDA,V8 INDUSTRIA E COMERCIO AUTOPECAS LTDA,VILA GUILHERME,02066011,,,18001518000105,03827,002,0207001,1129252545,,CAPITAO LUIS RAMOS,SP,,1129252545,ISENTO,,J,,v8@hotmail.com,S,,,,,7,0,,312,,0,99,99,99
000227,HJE DISTRIBUIDORA EIRELE LTDA,JUNTALIMA,VILA ARCDIA,02910000,,,29250694000105,03827,002,0207001,,,BALSA,SP,,,118832310113,,J,,juntalima@hotmail.com,S,,,,,7,0,,813,,0,99,99,99
000228,ROLPECAS INDUSTRIA DE PRODUTOS,ROLT BRASIL ROLAMENTOS,PARQUE INDUSTRIAL,87207048,,,26112042000108,03985,002,0207001,4436318298,,RUA EZILDO BALLADELLI,PR,,4436318298,9073079214,"REPRESENTANTE: ORSECREP - FABIO FERREIRA 
FRETE: FOB
TEM PARTE ESPECIAL 
PRAZO:
DESCONTO:",J,roltdobrasil@roltdobrasil.com.,rolpecas@hotmail.com,S,,,,,2,0,,326,,0,99,99,99
000229,TONINI DISTRIBUIDORA LTDA,APEX,ITABERABA,02739000,,,11091418000178,03827,,,FELIPE,,ITABERABA,SP,,28272500,148759815115,"REPRESENTACAO: NOVA BAHIA - FELIPE BONILLA 
PRAZO: 30/60/90
FRETE: FOB 
EMAIL: NOVABAHIA.REP@GMAIL.COM 
TELEFONE: 71-99231-2938 (FELIPE)",J,,,S,,,,,,0,,4516,,0,99,99,99
000230,APEX DO BRASIL LTDA,APEX,VOTUPARIM,06513010,,,52661584000140,03793,002,,,,ROSA SCARPA,SP,,1141545809,623001356110,"REPRESENTACAO: NOVA BAHIA - FELIPE BONILLA 
PRAZO: 30/60/90
FRETE: FOB 
EMAIL: NOVABAHIA.REP@GMAIL.COM 
TELEFONE: 71-99231-2938 (FELIPE)",J,,,S,01013930,,,,,0,GALPAO 2,206,,0,99,99,99
000231,ZEENE PERNAMBUCO COM.DE PECAS AUTO,ZEENE,PRAZERES,54335025,,,19421119000166,01550,,,ANDRE,,"RUA RIACHAO, 807",PE,,8137977360,055857833,,J,,,S,,,,,,0,,807,,0,99,99,99
000232,BONFIM BATERIAS LTDA,BONFIM BATERIAS LTDA,CENTRO,48903680,,,16392367000138,02042,,,,,AVENIDA SANTOS DUMONT,BA,,7436119798,28702155,,J,,,S,01000471,,,,,0,,168,,0,99,99,99
000233,ARTMOLD COMPONENTES AUTOTOM.LTDA,ARTMOLD,DIST.INDUSTRIAL III,12908535,,,03961012000170,03351,001,,TROMBINI,,AV DE PAULA PEREIRA,SP,,1140350331,225180087118,,J,,,S,,,,,,0,,66,,0,99,99,99
000234,"WDI COMERCIO, IMPORTADORA E EXPORTADORA LTDA.","WDI COMERCIO, IMPORTADORA E EXPORTADORA",PORTAO VERMELHO,06730000,,,14311163000108,03898,,,,,RUA TUPI GUARANI,SP,,1141592933,720015533119,,J,,,S,,,,,,0,,291,,0,99,99,99
000235,FRABRICA DE COMPENSADOS ULIANA EIRELI,COMPENSADOS ULIANA,CENTRO,68632000,,,22926299000142,00289,003,0207001,3726-1144,,"ROD BR 010, KM 081",PA,,37261144,151325766,,J,,uliana@hotmai.com,S,,,,,6,0,,010,,0,99,99,99
000236,B F X BORRACHAS AUTOMOTIVAS EIRELI,BORFLEX,JD.S.FRANCISCO,13617416,,,10947170000131,03566,,,,,R.GILSON MANOEL LEME DE ARRUDA,SP,,1935549810,415148980117,VENDEDOR BCR - ESPECIAL 50X50 - FRETE FOB,J,,,S,01002200,,,,,0,,370,,0,99,-1,-1
000237,LEMCA LAMPADAS ESPECIAIS LTDA,EXCELITE,CENTRO,88301425,,,60089919000206,04434,,,,,"RUA MANOEL VIEIRA GARCAO,",SC,,28270600,260103810,,J,,,S,,,,,,0,,077,,0,99,99,99
000238,WORK MEDICINA DO TRABALHO,,CENTRO,56304060,,,20809123000185,01588,010,,WORK,,RUA JOAQUIM NABUCO,PE,,8730350993,,,J,,,S,,87988381026,9625837,,1,0,SENTIDO VALEIRO PEREIRA/ PRAA DO COLISEU,26,,0,99,99,99
000239,REGELUB LUBRIFICANTES - EIRELI,GT OIL,PARQUE DAS RODOVIAS,12605530,,,01084176000131,03571,003,0207001,012 3152-2623,,PRESIDENTE DUTRA,SP,,,ISENTO,,J,,gt@hotmail.com,S,,,,,6,0,,123,,0,99,99,99
000240,VALEO SISTEMAS AUTOMOTIVOS LTDA,FTE,COOPERATIVA,09852070,,,57010662000836,03809,002,0207001,,,SADAE TAKAGI,SP,,,ISENTO,,J,,valeo@hotmail.com,S,01016059,,,,7,0,,2000,,0,99,99,99
000241,CENTROFLEX INDUSTRIA COMERCIO,CONTROFLEX,JARDIM PRESIDENTE DUTRA,07171000,,,72013188000113,03477,002,0207001,01124325355,,BELA VISTA DO PARAISO,SP,,01124325355,336425802113,,J,,centroflex@hotmail.com,S,,,,,6,0,,179,,0,99,99,99
000242,CORTILIMA IND E COM DE AUTO PEAS LTDA EPP,JUNTALIMA,VILA ARCDIA,02910120,,,02164365000187,03827,002,0207003,1139761362,,GAETANO PASQUALE SERRICHIO,SP,,1139761362,ISENTO,luciabi.auto@gmail.com,J,,cortiris@hotmail.com,S,01015173,,,,2,0,,290,,0,99,99,99
000243,DANCAR DISTRIBUIDORA DE AUTOPEAS LTDA,DANCAR DISTRIBUIDORA,JARDIM ORIENTAL,04349020,,,06080342000145,03827,002,0207001,1150127306,,DAS CANJERANAS,SP,,1150127306,116761178118,,J,,dancar@hotmail.com,S,,,,,7,0,.,645,,0,99,99,99
000244,MGFREIOS IND E COMERCIO,MG FREIOS,CAJURU,14240000,,,09285254000178,03371,002,0207001,1636674001,,BENEDITO INACIO BARBOSA,SP,,1636674001,243077239118,,J,,mg@hotmail.com,S,,,,,6,0,,30,,0,99,99,99
000245,UNIFAP INDUSTRIA E COMERCIO DE AUTO PECAS LTDA,UNIFAP INDUSTRIA E COMERCIO DE AUTO PECA,BARRACAO,89113334,,,85325058000168,04404,,,,,RUA JOAO BARBIERI,SC,,4733328383,252479645,VENDEDOR SERVO - NAO TEM ESPECIAL - FRETE FOB,J,,,S,,,,,,0,,605,,0,99,99,99
000246,RKG AUTOMOTIVA EIRELI,RIKKO PARTS,STIO MORRO GRANDE,02809000,,,01356623000164,03652,002,0207001,1135717874,,JOAQUIM RIBEIRO,SP,,1135717874,ISENTO,,J,,rikko@hotmail.com,S,01012063,,,,6,0,,255,,0,99,99,99
000247,HI TECH INDUSTRIA E COMERCIO LTDA,HI TECH INDUSTRIA E COMERCIO LTDA,TABOAO,08772011,,,74241019000166,03608,002,0207001,1127035930,,ESTRADA MUNICIPAL YONEJI NAKAMURA,SP,,1127035930,ISENTO,,J,,hitech@hotmail.com,S,,,,,7,0,,808,,0,99,99,99
000248,TARANTO COMERCIAL IMPORTADORA E EXPORTADORA LTDA,TARANTO,JARDIM SANTO ELIAS,05136040,,,02156423000120,03827,002,0207001,(11) 3901-9090,,JAIR AFONSO INACIO,SP,,1139019090,ISENTO,"HERMERSON REPRESENTACOES 
FRETE CIF 
PRAZO 21 DIAS COM O PRECO DE A VISTA",J,,taranto@hotmail.com,S,,,,,7,0,,820,,0,99,99,99
000249,3-RHO INTERRUPTORES AUTOMOTIVOS LTDA,3RHO INTERRUPTORES,BATEAS,88355202,,,62848577000105,04356,002,0207001,4732514848,,IVO SILVEIRA,SC,,4732514848,ISENTO,VENDEDOR - CARDOSO - NAO TEM ESPECIAL- FRETE CIF,J,,3rho@hotmail.com,S,,,,,7,0,,5520,,0,99,99,99
000250,LNG IMP EXP DE AUTOPEAS,LNG AUTOMOTIVE PARTS,PINHAL,13315000,,,04949853000125,03360,003,0207001,1145291444,,AVENIDA ANTONIO ORTEGA,SP,,1145291444,ISENTO,,J,,lng@hotmail.com,S,,,,,6,0,LOTE 3 SETOR K,3450,,0,99,99,99
000251,RDX INDUSTRIA EIRELI,RDX INDUSTRIA EIRELI,CENTRO,58306130,,,34242382000181,01265,,,,,R MANOEL FRANCISCO VENANCIO,PB,,11947799254,163452717,,J,,,S,,,,,,0,ANEXO C,621,,0,99,99,99
000252,GRAZZIMETAL IND E COM DE AUT,GRAZZIMETAL,JARDIM NOVO PORTUGAL,07160520,,,66539370000100,03477,003,0207001,01133829255,,DA CERAMICA,SP,,01133829255,ISENTO,,J,,grazzimetal@hotmail.com,S,,,,,6,0,,69,,0,99,99,99
000253,SK AUTOMOTIVE S/A- DIST.DE AUTO PEA,,PORTO SECO PIRAJA,41233015,,,08237002001425,02160,,,,,R.ANTONIO ANDRADE,BA,,,74634810,,J,,,S,,,,,4,0,,171,,0,99,99,99
000254,UNIMED VALE SAO FRANCISCO,UNIMED,CENTRO,56302000,,,,02041,,,UNIMED,,RUA DO COLISEU,BA,,8738667900,,,F,,,S,,,,,,0,,123,,0,99,99,99
000255,UNIMED VALE DO SAO FRANCISCO,UNIMD,CENTRO,56302000,,,40853020000120,02042,,,UNIMED,,RUA DO COLISEU,BA,,8738667900,ISENTO,,J,,,S,,,,,6,0,CENTRO,123,,0,99,99,99
000256,DULUB LUBRIFICANTES LTDA-BA,DULUB,SANTA MONICA,44078015,,,04382181000380,01955,002,0207001,7530229930,,AVENIDA EDUARDO FROES DA MOTA,BA,,7530229930,ISENTO,,J,,dulub@hotmail.com,S,,,,,7,0,,2987,,0,99,99,99
000257,METALURGICA BUTTNER LTDA,BUTTNER,VILA DAS BELEZAS,05840030,,,54808209000105,03827,002,0207001,1123087496,,BERNARDINO ESTAZIONE,SP,,1123087496,ISENTO,,J,,buttner@hotmail.com,S,,,,,7,0,,233,,0,99,99,99
000258,DIVERSOS,DIVERSOS,ALTO FDO CRUZEIRO,,,,13731180000123,02042,,,,,JUAZEIRO,BA,,,00556077,,J,,,S,,,,,6,0,,1234,,0,99,99,99
